dato;trekning;sektor;sporsmal;motor;modell;alias_capte;entitet;kategori;kilde;note
2026-09-20;T1;it_saas;Q1;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);Sopra Steria;Sopra Steria;konsulent;sok;
2026-09-20;T1;it_saas;Q1;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);Bouvet;Bouvet;konsulent;sok;
2026-09-20;T1;it_saas;Q1;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);Accenture;Accenture;konsulent;sok;
2026-09-20;T1;it_saas;Q1;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);Capgemini;Capgemini;konsulent;sok;
2026-09-20;T1;it_saas;Q1;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);Bekk;Bekk;konsulent;sok;
2026-09-20;T1;it_saas;Q1;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);Knowit;Knowit;konsulent;sok;
2026-09-20;T1;it_saas;Q1;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);Netcompany Norge;Netcompany Norge;konsulent;sok;
2026-09-20;T1;it_saas;Q1;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);556bd91be7c8;556bd91be7c8;hors_panel;sok;
2026-09-20;T1;it_saas;Q1;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);4301701f5b9f;4301701f5b9f;hors_panel;sok;
2026-09-20;T1;it_saas;Q1;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);b19dbf8c09cb;b19dbf8c09cb;hors_panel;sok;
2026-09-20;T1;it_saas;Q1;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);7aba21c15e95;7aba21c15e95;hors_panel;sok;
2026-09-20;T1;it_saas;Q1;Gemini;Flash-Lite (per protokoll);Sopra Steria;Sopra Steria;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Gemini;Flash-Lite (per protokoll);Bouvet;Bouvet;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Gemini;Flash-Lite (per protokoll);Netcompany;Netcompany Norge;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Gemini;Flash-Lite (per protokoll);Bekk;Bekk;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Gemini;Flash-Lite (per protokoll);Knowit;Knowit;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Gemini;Flash-Lite (per protokoll);bb9178d094c5;bb9178d094c5;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Gemini;Flash-Lite (per protokoll);Computas;Computas;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Gemini;Flash-Lite (per protokoll);Itera;Itera;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Gemini;Flash-Lite (per protokoll);d6b52f3f6fee;d6b52f3f6fee;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Claude;Sonnet 5 Medium (per protokoll);Sopra Steria;Sopra Steria;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Claude;Sonnet 5 Medium (per protokoll);Bouvet;Bouvet;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Claude;Sonnet 5 Medium (per protokoll);5e1be44c61aa;5e1be44c61aa;hors_panel;sok;
2026-09-20;T1;it_saas;Q1;Claude;Sonnet 5 Medium (per protokoll);8d2d5c8c55d6;8d2d5c8c55d6;hors_panel;sok;
2026-09-20;T1;it_saas;Q1;Claude;Sonnet 5 Medium (per protokoll);Webstep;Webstep;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Claude;Sonnet 5 Medium (per protokoll);Computas;Computas;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Claude;Sonnet 5 Medium (per protokoll);Netlight;Netlight;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Claude;Sonnet 5 Medium (per protokoll);ITverket;ITverket;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Claude;Sonnet 5 Medium (per protokoll);f2c31e5369ba;f2c31e5369ba;hors_panel;sok;
2026-09-20;T1;it_saas;Q1;Claude;Sonnet 5 Medium (per protokoll);Aztek Consulting;Aztek Consulting;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Claude;Sonnet 5 Medium (per protokoll);Sysint;Sysint;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Claude;Sonnet 5 Medium (per protokoll);XLENT;XLENT;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Claude;Sonnet 5 Medium (per protokoll);Frend;Frend;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning) (per protokoll);Sopra Steria;Sopra Steria;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning) (per protokoll);Bouvet;Bouvet;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning) (per protokoll);Bekk;Bekk;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning) (per protokoll);Knowit;Knowit;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning) (per protokoll);Knowit Quality;Knowit;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning) (per protokoll);Accenture;Accenture;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning) (per protokoll);Tietoevry;Tietoevry;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning) (per protokoll);Itera;Itera;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning) (per protokoll);Nimtech;Nimtech;konsulent;sok;
2026-09-20;T1;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning) (per protokoll);5e1be44c61aa;5e1be44c61aa;hors_panel;sok;
2026-09-20;T1;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning) (per protokoll);8d2d5c8c55d6;8d2d5c8c55d6;hors_panel;sok;
2026-09-20;T1;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning) (per protokoll);cedd11a80c4a;cedd11a80c4a;hors_panel;sok;
2026-09-20;T1;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning) (per protokoll);fa03ad0dc3b8;fa03ad0dc3b8;hors_panel;sok;
2026-09-20;T1;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning) (per protokoll);155c92095444;155c92095444;hors_panel;sok;
2026-09-20;T1;it_saas;Q1;Perplexity;Søk + avansert søk (gratis forhåndsvisning) (per protokoll);b7bc8a3aa827;b7bc8a3aa827;hors_panel;sok;
2026-09-20;T1;it_saas;Q2;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);Knowit AS;Knowit;konsulent;sok;
2026-09-20;T1;it_saas;Q2;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);005a30e968d1;005a30e968d1;konsulent;sok;
2026-09-20;T1;it_saas;Q2;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);Frend Digital AS;Frend;konsulent;sok;
2026-09-20;T1;it_saas;Q2;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);556bd91be7c8;556bd91be7c8;hors_panel;sok;
2026-09-20;T1;it_saas;Q2;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);CGI Norge AS;CGI Norge;konsulent;sok;
2026-09-20;T1;it_saas;Q2;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);23f3324d475a;23f3324d475a;konsulent;sok;
2026-09-20;T1;it_saas;Q2;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);c94b84d99405;c94b84d99405;hors_panel;sok;
2026-09-20;T1;it_saas;Q2;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);Sopra Steria;Sopra Steria;konsulent;sok;
2026-09-20;T1;it_saas;Q2;Gemini;Flash-Lite (per protokoll);Frend Digital;Frend;konsulent;sok;
2026-09-20;T1;it_saas;Q2;Gemini;Flash-Lite (per protokoll);Solea;Solea;konsulent;sok;
2026-09-20;T1;it_saas;Q2;Gemini;Flash-Lite (per protokoll);953e910efe03;953e910efe03;hors_panel;sok;
2026-09-20;T1;it_saas;Q2;Gemini;Flash-Lite (per protokoll);Accenture;Accenture;konsulent;sok;
2026-09-20;T1;it_saas;Q2;Gemini;Flash-Lite (per protokoll);Sopra Steria;Sopra Steria;konsulent;sok;
2026-09-20;T1;it_saas;Q2;Gemini;Flash-Lite (per protokoll);Bouvet;Bouvet;konsulent;sok;
2026-09-20;T1;it_saas;Q2;Gemini;Flash-Lite (per protokoll);cedd11a80c4a;cedd11a80c4a;hors_panel;sok;
2026-09-20;T1;it_saas;Q2;Gemini;Flash-Lite (per protokoll);Holte Consulting;Holte Consulting;konsulent;sok;
2026-09-20;T1;it_saas;Q2;Gemini;Flash-Lite (per protokoll);e8ce2e987bee;e8ce2e987bee;hors_panel;sok;
2026-09-20;T1;it_saas;Q2;Claude;Sonnet 5 Medium (per protokoll);ed7039d30494;ed7039d30494;hors_panel;sok;
2026-09-20;T1;it_saas;Q2;Claude;Sonnet 5 Medium (per protokoll);Frend;Frend;konsulent;sok;
2026-09-20;T1;it_saas;Q2;Claude;Sonnet 5 Medium (per protokoll);9a544e2bad50;9a544e2bad50;konsulent;sok;
2026-09-20;T1;it_saas;Q2;Claude;Sonnet 5 Medium (per protokoll);XLENT;XLENT;konsulent;sok;
2026-09-20;T1;it_saas;Q2;Claude;Sonnet 5 Medium (per protokoll);e8ce2e987bee;e8ce2e987bee;hors_panel;sok;
2026-09-20;T1;it_saas;Q2;Claude;Sonnet 5 Medium (per protokoll);c03985274c22;c03985274c22;hors_panel;sok;
2026-09-20;T1;it_saas;Q2;Claude;Sonnet 5 Medium (per protokoll);834f6764eba3;834f6764eba3;hors_panel;sok;
2026-09-20;T1;it_saas;Q2;Claude;Sonnet 5 Medium (per protokoll);40c291bccc24;40c291bccc24;hors_panel;sok;
2026-09-20;T1;it_saas;Q2;Claude;Sonnet 5 Medium (per protokoll);0515ceb85537;0515ceb85537;hors_panel;sok;
2026-09-20;T1;it_saas;Q2;Claude;Sonnet 5 Medium (per protokoll);39c6f6cfb148;39c6f6cfb148;konsulent;sok;
2026-09-20;T1;it_saas;Q2;Claude;Sonnet 5 Medium (per protokoll);ee26e7ac8026;ee26e7ac8026;konsulent;sok;
2026-09-20;T1;it_saas;Q2;Perplexity;Søk + avansert søk (gratis forhåndsvisning) (per protokoll);e8ce2e987bee;e8ce2e987bee;hors_panel;sok;
2026-09-20;T1;it_saas;Q2;Perplexity;Søk + avansert søk (gratis forhåndsvisning) (per protokoll);dc76f3ebf5d8;dc76f3ebf5d8;hors_panel;sok;
2026-09-20;T1;it_saas;Q2;Perplexity;Søk + avansert søk (gratis forhåndsvisning) (per protokoll);Sopra Steria;Sopra Steria;konsulent;sok;
2026-09-20;T1;it_saas;Q2;Perplexity;Søk + avansert søk (gratis forhåndsvisning) (per protokoll);8d2d5c8c55d6;8d2d5c8c55d6;hors_panel;sok;
2026-09-20;T1;it_saas;Q2;Perplexity;Søk + avansert søk (gratis forhåndsvisning) (per protokoll);885d940afafd;885d940afafd;konsulent;sok;
2026-09-20;T1;it_saas;Q2;Perplexity;Søk + avansert søk (gratis forhåndsvisning) (per protokoll);c3be844e4f21;c3be844e4f21;hors_panel;sok;
2026-09-20;T1;it_saas;Q3;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);Computas;Computas;konsulent;sok;
2026-09-20;T1;it_saas;Q3;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);Knowit AS;Knowit;konsulent;sok;
2026-09-20;T1;it_saas;Q3;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);Capra;Capra;konsulent;sok;
2026-09-20;T1;it_saas;Q3;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);Variant Oslo;Variant;konsulent;sok;
2026-09-20;T1;it_saas;Q3;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);c94b84d99405;c94b84d99405;hors_panel;sok;
2026-09-20;T1;it_saas;Q3;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);Sopra Steria;Sopra Steria;konsulent;sok;
2026-09-20;T1;it_saas;Q3;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);Bouvet;Bouvet;konsulent;sok;
2026-09-20;T1;it_saas;Q3;ChatGPT;gratis utlogget (modell ikke vist) (per protokoll);Itera;Itera;konsulent;sok;
2026-09-20;T1;it_saas;Q3;Gemini;Flash-Lite (per protokoll);Sopra Steria;Sopra Steria;konsulent;sok;
2026-09-20;T1;it_saas;Q3;Gemini;Flash-Lite (per protokoll);Itera;Itera;konsulent;sok;
2026-09-20;T1;it_saas;Q3;Gemini;Flash-Lite (per protokoll);Bouvet;Bouvet;konsulent;sok;
2026-09-20;T1;it_saas;Q3;Gemini;Flash-Lite (per protokoll);itverket;ITverket;konsulent;sok;
2026-09-20;T1;it_saas;Q3;Gemini;Flash-Lite (per protokoll);Yne;Yne;konsulent;sok;
2026-09-20;T1;it_saas;Q3;Gemini;Flash-Lite (per protokoll);Variant;Variant;konsulent;sok;
2026-09-20;T1;it_saas;Q3;Gemini;Flash-Lite (per protokoll);12ecb4b4a3a0;12ecb4b4a3a0;hors_panel;sok;
2026-09-20;T1;it_saas;Q3;Gemini;Flash-Lite (per protokoll);1a93b74c1b9f;1a93b74c1b9f;hors_panel;sok;
2026-09-20;T1;it_saas;Q3;Claude;Sonnet 5 Medium (per protokoll);Sopra Steria;Sopra Steria;konsulent;sok;
2026-09-20;T1;it_saas;Q3;Claude;Sonnet 5 Medium (per protokoll);Capgemini;Capgemini;konsulent;sok;
2026-09-20;T1;it_saas;Q3;Claude;Sonnet 5 Medium (per protokoll);Knowit;Knowit;konsulent;sok;
2026-09-20;T1;it_saas;Q3;Claude;Sonnet 5 Medium (per protokoll);Netcompany;Netcompany Norge;konsulent;sok;
2026-09-20;T1;it_saas;Q3;Claude;Sonnet 5 Medium (per protokoll);Accenture;Accenture;konsulent;sok;
2026-09-20;T1;it_saas;Q3;Claude;Sonnet 5 Medium (per protokoll);afef56aa9862;afef56aa9862;hors_panel;sok;
2026-09-20;T1;it_saas;Q3;Claude;Sonnet 5 Medium (per protokoll);5e1be44c61aa;5e1be44c61aa;hors_panel;sok;
2026-09-20;T1;it_saas;Q3;Claude;Sonnet 5 Medium (per protokoll);8d2d5c8c55d6;8d2d5c8c55d6;hors_panel;sok;
2026-09-20;T1;it_saas;Q3;Claude;Sonnet 5 Medium (per protokoll);Bouvet;Bouvet;konsulent;sok;
2026-09-20;T1;it_saas;Q3;Claude;Sonnet 5 Medium (per protokoll);Bekk;Bekk;konsulent;sok;
2026-09-20;T1;it_saas;Q3;Claude;Sonnet 5 Medium (per protokoll);Crayon;Crayon;konsulent;sok;
2026-09-20;T1;it_saas;Q3;Claude;Sonnet 5 Medium (per protokoll);Webstep;Webstep;konsulent;sok;
2026-09-20;T1;it_saas;Q3;Claude;Sonnet 5 Medium (per protokoll);05b576f4aa93;05b576f4aa93;konsulent;sok;
2026-09-20;T1;it_saas;Q3;Claude;Sonnet 5 Medium (per protokoll);Variant;Variant;konsulent;sok;
2026-09-20;T1;it_saas;Q3;Claude;Sonnet 5 Medium (per protokoll);Netlight;Netlight;konsulent;sok;
2026-09-20;T1;it_saas;Q3;Claude;Sonnet 5 Medium (per protokoll);Senitel Consulting;Senitel Consulting;konsulent;sok;
